name,skills,interest_area
Oceansoft,"['Java', 'Programação C#', 'Python', 'Programação C', 'Programação C++', 'Asp.Net', 'Banco De Dados', 'Cloud Computing', 'Mineração de Dados', 'Mobile', '.NET Framework', '.NET para Web', 'ADO.NET Entity Framework', 'Amazon Web Services', 'Android', 'Apple Developer', 'ASP.NET MVC', 'Azure', 'Consultoria', 'CSS3', 'Armazenagem de Dados', 'Estatísticas', 'Framework JavaScript', 'Gestão', 'HTML5', 'iOS', 'Layout', 'Banco de Dados Oracle', 'PL/SQL', 'Web Analytics']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento de Games', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Cloud Computing', 'Desenvolvimento Desktop', 'Teste de Software', 'Outra - Web, Mobile & Software', 'Planilhas e Relatórios', 'Análise de Dados & Estatística', 'Gestão de Projetos', 'Planejamento de Negócios', 'Outra - Administração & Contabilidade']"
Samuel F.,['Digitação'],"['Redação', 'Edição & Revisão', 'Atendimento ao Consumidor', 'Análise de Dados & Estatística', 'Outra - Atendimento ao Consumidor']"
Paulo M.,"['NodeJS', 'NoSQL Couchbase', 'Banco De Dados', 'Big Data', 'Python', 'Web Analytics']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Web', 'Outra - Web, Mobile & Software', 'Gestão de Projetos']"
Allan C.,"['Adobe Creative Suite', 'Amazon Kindle', 'Corel Draw', 'Corel Paint Shop', 'Adobe Illustrator', 'Adobe InDesign', 'Microsoft Office', 'Adobe Photoshop']","['Assessoria de Imprensa', 'Jornalismo', 'Redação', 'Edição & Revisão', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Pesquisa de Mercado', 'Outra - Design & Criação']"
Fabio D M.,"['Análise de Dados', 'Excel', 'Excel VBA', 'Microsoft Office', 'Power BI\xa0', 'Python', 'Salesforce', 'SQL', 'Tableau']","['Planilhas e Relatórios', 'Entrada de Dados', 'Análise de Dados & Estatística', 'Transcrição', 'Escrita & Conteúdo']"
Reni D.,"['Android', 'Facebook API', 'Geolocalização', 'Google Maps API', 'Java', 'NodeJS', 'Paypal API', 'Python', 'XML']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Mobile', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Carina S.,"['Amazon Web Services', 'Análise de Projetos', 'Banco De Dados', 'Chatbot', 'Desenvolvimento de API', 'Desenvolvimento Desktop', 'ETL', 'Google Analytics']","['Banco de Dados', 'Cloud Computing', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
Jorge K.,"['Mineração de Dados', 'Armazenagem de Dados', 'Estatísticas', 'SQL', 'Web Analytics', 'Business Intelligence', 'Python']","['Banco de Dados', 'SEO - Search Engine Optimization', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Outra - Web, Mobile & Software']"
Gabriela F.,"['Atendimento ao Cliente', 'Banco De Dados', 'Business Intelligence', 'Excel', 'Inteligência Artificial', 'Linguagem de Programação R', 'Python', 'Visão Computacional', 'Desenvolvimento de Relatórios', 'Revisão']","['Pesquisa de Mercado', 'Cloud Computing', 'Outra - Escrita', 'Planilhas e Relatórios', 'Análise de Dados & Estatística']"
Silvio C.,"['Agilidade', 'Artigos Acadêmicos', 'Contabilidade', 'Espanhol', 'Excel', 'Finanças', 'Follow-up', 'Inglês', 'Microsoft Office']","['Edição & Revisão', 'Contabilidade', 'Financeiro', 'Contabilidade', 'Escrita & Conteúdo']"
